====================================================================================================
ALL 100 SESSIONS - RANKED BY NEW STEP REWARD SCORE
====================================================================================================

Rank  Session ID                          Old PRM    New Step   Steps    Chunks   Msgs    
----------------------------------------------------------------------------------------------------
  1. ses_4ad346f5dffenUkFD0p1RwI1rd... | old=0.914 | new=0.988 | steps=112 | chunks= 2 | msgs= 112
  2. ses_4a9f466bbffeozfcFPn4HTSh74... | old=0.932 | new=0.969 | steps=  1 | chunks= 1 | msgs=   3
  3. ses_488e18eedffeVdAsxu4bNpXy3S... | old=0.924 | new=0.969 | steps=  1 | chunks= 1 | msgs=   3
  4. ses_49365e43fffeIIv5lwq7QqppyK... | old=0.896 | new=0.963 | steps= 10 | chunks= 1 | msgs=  21
  5. ses_49d640905ffevbB6ehPU5x39EW... | old=0.828 | new=0.959 | steps=  5 | chunks= 1 | msgs=  11
  6. ses_4a71c3706ffe6XLOV0O8I200P4... | old=0.951 | new=0.956 | steps= 27 | chunks= 1 | msgs=  59
  7. ses_499ea34aaffeEvnGU3e2knNWaK... | old=0.922 | new=0.948 | steps=  4 | chunks= 1 | msgs=   9
  8. ses_4b1262a05ffcbA50l5S2YDIQVK... | old=0.932 | new=0.941 | steps=  1 | chunks= 1 | msgs=   3
  9. ses_4ad7ffd6cffe5X8lIZwov2iAeU... | old=0.951 | new=0.938 | steps=  8 | chunks= 1 | msgs=  17
 10. ses_4b37f3f92ffeNpAyLpGWGPhlID... | old=0.965 | new=0.938 | steps=  1 | chunks= 1 | msgs=   3
 11. ses_499ecb186ffeKshuy8drlxsef5... | old=0.862 | new=0.922 | steps= 14 | chunks= 1 | msgs=  30
 12. ses_47f81f47cffbJ6TBZTB065450R... | old=0.920 | new=0.918 | steps=  2 | chunks= 1 | msgs=   5
 13. ses_496a82966ffeqIrKVJq6En3UcX... | old=0.963 | new=0.916 | steps=142 | chunks= 6 | msgs= 273
 14. ses_48ebe3f8effeQMZRqVaCSSgBp5... | old=0.971 | new=0.914 | steps=  9 | chunks= 3 | msgs=  23
 15. ses_4a151f0bfffen9ldszBu0vzhmL... | old=0.867 | new=0.910 | steps= 28 | chunks= 5 | msgs=  57
 16. ses_49887006affe5q6Dxo2nDQsQXs... | old=0.943 | new=0.908 | steps= 70 | chunks= 7 | msgs= 116
