====================================================================================================
ALL 100 SESSIONS (CLEANED DATA) - RANKED BY STEP REWARD SCORE
====================================================================================================

Rank  Session ID                          New Step   Steps    Chunks   Msgs    
----------------------------------------------------------------------------------------------------
  1. ses_489f68b95ffeEEUkybONAZQTqZ... | new=0.992 | steps=  1 | chunks= 1 | msgs=   3
  2. ses_47fb6db90ffeCKZmad1y6YWPsK... | new=0.992 | steps=  1 | chunks= 1 | msgs=   3
  3. ses_491a57219ffe4bpwZ7mGbiMJRh... | new=0.984 | steps=  1 | chunks= 1 | msgs=   4
  4. ses_48a1e7b52ffeY3fcyLi4lO4c8Q... | new=0.984 | steps=  1 | chunks= 1 | msgs=   3
  5. ses_48f455666ffeyUkErYCW5JmlyE... | new=0.979 | steps= 11 | chunks= 1 | msgs=  23
  6. ses_484e0d096ffeXFzLKLzKq2TNuJ... | new=0.970 | steps= 13 | chunks= 1 | msgs=  27
  7. ses_49e30dbc2ffeqNCVHxjyqQUdtu... | new=0.969 | steps=  1 | chunks= 1 | msgs=   3
  8. ses_4960369ecffe93h4U3ceBrvZVo... | new=0.968 | steps= 16 | chunks= 1 | msgs=  32
  9. ses_4adeb0a41ffedqvhvVH53OYbo0... | new=0.953 | steps= 24 | chunks= 1 | msgs=  48
 10. ses_49b527b75ffe3uvYUdK8dhHs9Z... | new=0.951 | steps=146 | chunks= 1 | msgs= 293
 11. ses_48f456777ffeAfIQPGKHz8Yass... | new=0.949 | steps=  1 | chunks= 1 | msgs=   3
 12. ses_4a6d4cf1dffeYC7qQZIUd8W0HQ... | new=0.941 | steps=  1 | chunks= 1 | msgs=   3
 13. ses_49ff35fd0ffeas6dzhe59gVkmE... | new=0.938 | steps=235 | chunks=16 | msgs= 425
 14. ses_48a930100ffep3Rc1IYVRI2r6l... | new=0.934 | steps=  3 | chunks= 1 | msgs=   7
 15. ses_49f094645ffe36Ta0UlcNdHkOf... | new=0.920 | steps= 23 | chunks= 3 | msgs=  39
 16. ses_4959d377bffeYUoy9K4aAPS8bp... | new=0.916 | steps= 36 | chunks= 2 | msgs=  71
 17. ses_49a59b60effepNbq9YFlk0AVBV... | new=0.914 | steps= 53 | chunks= 5 | msgs= 110
 18. ses_4a270c7f0ffeYiwBZd4emYTqIw... | new=0.906 | steps= 66 | chunks= 5 | msgs= 125
 19. ses_48386756affeez8lVN8lf7D5yW... | new=0.903 | steps=211 | chunks=15 | msgs= 365
 20. ses_49e01752affe8Q1J08Gsro7LoW... | new=0.901 | steps=187 | chunks=23 | msgs= 310
 21. ses_481d32ee0ffe44C3UYldXpDIY4... | new=0.897 | steps=435 | chunks=32 | msgs= 747
 22. ses_48fb7ff3affeahlNfFZDRdwgpd... | new=0.894 | steps= 27 | chunks= 1 | msgs=  55
 23. ses_4a71e14ddffeKpWuRYu1ZMIAsp... | new=0.891 | steps=212 | chunks=14 | msgs= 385
 24. ses_4a8eaa8e7ffeJ04FK273RgBYMJ... | new=0.882 | steps=316 | chunks=48 | msgs= 508
 25. ses_4f5c671b3ffed3bUte9DSiIrX6... | new=0.880 | steps=174 | chunks=16 | msgs= 318
